websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1013,SI-1013,,SI-1013,Master,SI-1013,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1013_web.jpg,426.74,Roll,1,3,Textural,Brown,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk, Metallic",Sheer Intuition,SI-1014,SI-1014,,SI-1014,Master,SI-1014,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1014_web.jpg,391.16,Roll,1,3,Textural,"Gold, White",,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk, Metallic",Sheer Intuition,SI-1015,SI-1015,,SI-1015,Master,SI-1015,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1015_web.jpg,391.16,Roll,1,3,Textural,Bronze,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1016,SI-1016,,SI-1016,Master,SI-1016,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1016_web.jpg,558.9,Roll,1,3,Textural,Brown,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1017,SI-1017,,SI-1017,Master,SI-1017,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1017_web.jpg,558.9,Roll,1,3,Textural,Orange,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk, Metallic",Sheer Intuition,SI-1018,SI-1018,,SI-1018,Master,SI-1018,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1018_web.jpg,367.48,Roll,1,3,Textural,White,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1019,SI-1019,,SI-1019,Master,SI-1019,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1019_web.jpg,459.27,Roll,1,3,Textural,Bronze,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1020,SI-1020,,SI-1020,Master,SI-1020,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1020_web.jpg,424.02,Roll,1,3,Textural,Cream,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1021,SI-1021,,SI-1021,Master,SI-1021,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1021_web.jpg,424.02,Roll,1,3,Textural,"Beige, White",,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
"A,H",Astek,3-6 weeks,Naturals,"Textured, Silk",Sheer Intuition,SI-1022,SI-1022,,SI-1022,Master,SI-1022,,"silk, linen, weave, woven, textile, fabric, raw silk, slub yarn",https://s3-us-west-2.amazonaws.com/astek-product-images/Sheer_Intuition/SI-1022_web.jpg,459.27,Roll,1,3,Textural,Brown,,Paper,36,8,,,,,,,Random,,3,,Strippable,Dust,Satisfactory,Class A,,,No
