websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Crystalline,Keystone,Keystone - Borealis,Color Way,AD314-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Keystone_Borealis.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,120,120,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Keystone,Keystone - Earthen,Color Way,AD314-2,,,https://s3.amazonaws.com/astek/Crystalline/AD314-2.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,120,120,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Keystone,Keystone - Tundra,Color Way,AD314-3,,,https://s3.amazonaws.com/astek/Crystalline/AD314-3.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,120,120,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,On The Rocks,On The Rocks - Essence,Color Way,AD315-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_OntheRocks_Essence.jpg,6.50,Square Foot,1,1,,Yellow,Silver Mylar,,,,,,120,80,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,On The Rocks,On The Rocks - Hearth,Color Way,AD315-2,,,https://s3.amazonaws.com/astek/Crystalline/AD315-2.jpg,6.50,Square Foot,1,1,,Red,Silver Mylar,,,,,,120,80,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,On The Rocks,On The Rocks - Igloo,Color Way,AD315-3,,,https://s3.amazonaws.com/astek/Crystalline/AD315-3.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,120,80,Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Quarry,Quarry - Amber,Color Way,AD316-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Quarry_Amber.jpg,6.50,Square Foot,1,1,,Orange,Silver Mylar,,,,,,52,62.66,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Quarry,Quarry - Amethyst,Color Way,AD316-2,,,https://s3.amazonaws.com/astek/Crystalline/AD316-2.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,52,62.66,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Quarry,Quarry - Celestite,Color Way,AD316-3,,,https://s3.amazonaws.com/astek/Crystalline/AD316-3.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,52,62.66,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Quartz,Quartz - Calypso,Color Way,AD317-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Quartz_Calypso_Mural.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,240,120,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Quartz,Quartz - Firewalker,Color Way,AD317-2,,,https://s3.amazonaws.com/astek/Crystalline/AD317-2.jpg,6.50,Square Foot,1,1,,Orange,Silver Mylar,,,,,,240,120,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Quartz,Quartz - Smoke,Color Way,AD317-3,,,https://s3.amazonaws.com/astek/Crystalline/AD317-3.jpg,6.50,Square Foot,1,1,,Black and White,Silver Mylar,,,,,,240,120,Repeating Mural,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Rockbottom,Rockbottom - Crestfallen,Color Way,AD318-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_RockBottom_Crestfallen.jpg,6.50,Square Foot,1,1,,Neutral,White Mylar,,,,,,134.43,124.27,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Rockbottom,Rockbottom - Glum,Color Way,AD318-2,,,https://s3.amazonaws.com/astek/Crystalline/AD318-2.jpg,6.50,Square Foot,1,1,,Blue,White Mylar,,,,,,134.43,124.27,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Rockbottom,Rockbottom - Pout,Color Way,AD318-3,,,https://s3.amazonaws.com/astek/Crystalline/AD318-3.jpg,6.50,Square Foot,1,1,,Red,White Mylar,,,,,,134.43,124.27,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Wedge,Wedge - Faded,Color Way,AD319-1,,,https://www.astekwallcovering.com/sites/default/files/designs/Crystalline_Wedge_Faded.jpg,6.50,Square Foot,1,1,,Neutral,Silver Mylar,,,,,,50.69,42.475,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Wedge,Wedge - Strata,Color Way,AD319-2,,,https://s3.amazonaws.com/astek/Crystalline_Wedge-Strata.jpg,6.50,Square Foot,1,1,,Blue,Silver Mylar,,,,,,50.69,42.475,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Crystalline,Wedge,Wedge - Ultra,Color Way,AD319-3,,,https://s3.amazonaws.com/astek/Crystalline_Wedge_Ultra.jpg,6.50,Square Foot,1,1,,Yellow,Silver Mylar,,,,,,50.69,42.475,Straight,,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
