websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Ranworth,RD03010,Ranworth,Master,RD03010,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD03010_Ranworth_RANWORTH.jpg,,56.99,Roll,1,1,"Painterly, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Supaglypta Edward,RD0602,Supaglypta Edward,Master,RD0602,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0602_Supaglypta_Edward_SUPAGLYPTAEDWARD.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0602_Supaglypta_Edward_SUPAGLYPTAEDWARD_install.jpg,65.99,Roll,1,1,"Retro + Vintage, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Supaglypta Charles,RD0630,Supaglypta Charles,Master,RD0630,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0630_Supaglypta_Charles_SUPAGLYPTACHARLES.jpg,,65.99,Roll,1,1,"Retro + Vintage, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Supaglypta Alexander,RD0647,Supaglypta Alexander,Master,RD0647,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0647_Supaglypta_Alexander_SUPAGLYPTAALEXANDER.jpg,,65.99,Roll,1,1,"Botanical, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Supaglypta Howard,RD0648,Supaglypta Howard,Master,RD0648,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0648_Supaglypta_Howard_SUPAGLYPTAHOWARD.jpg,,65.99,Roll,1,1,"Botanical, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Supaglypta Seymor,RD0655,Supaglypta Seymor,Master,RD0655,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0655_Supaglypta_Seymor_SUPAGLYPTASEYMOR.jpg,,65.99,Roll,1,1,"Geometric, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Dado Panel Baroque,RD06671,Dado Panel Baroque,Master,RD06671,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD06671_Dado_Panel_Baroque_DADOPANELBAROQUE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD06671_Dado_Panel_Baroque_DADOPANELBAROQUE_install.jpg,109.99,Roll,1,1,"Retro + Vintage, Textural",White,,Vinyl,40.5,7.5,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Dado Panel Nouveau,RD06681,Dado Panel Nouveau,Master,RD06681,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD06681_Dado_Panel_Nouveau_DADOPANELNOUVEAU.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD06681_Dado_Panel_Nouveau_DADOPANELNOUVEAU_install.jpg,109.99,Roll,1,1,"Art Nouveau, Textural",White,,Vinyl,40.5,7.5,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Supaglypta Albert,RD0669,Supaglypta Albert,Master,RD0669,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0669_Supaglypta_Albert_SUPAGLYPTAALBERT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD06700_Dado_Panel_Oriental_DADOPANELORIENTAL_install.jpg,65.99,Roll,1,1,"Retro + Vintage, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Dado Panel Oriental,RD06700,Dado Panel Oriental,Master,RD06700,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD06700_Dado_Panel_Oriental_DADOPANELORIENTAL.jpg,,109.99,Roll,1,1,"Retro + Vintage, Textural",White,,Vinyl,40.5,7.5,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
"A,H",Anaglypta,1-2 weeks,Specialty,Textured,Anaglypta,Maxwell,RD0671,Maxwell,Master,RD0671,,"texture, embossed, emboss, relief, paintable",https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0671_Maxwell_MAXWELL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Anaglypta/RD0671_Maxwell_MAXWELL_install.jpg,56.99,Roll,1,1,"Botanical, Textural",White,,Vinyl,20.5,11,,,,,,,Straight,,9,Paste the Paper,Strippable,Spongeable,,Class A,,,No
