websites,vendor,product_category,product_type,collection,design_name,design_sku,design_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E3270,E3270,,E3270,Master,E3270,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E3270_web.jpg,153.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E3271,E3271,,E3271,Master,E3271,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E3271_web.jpg,153.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E3276,E3276,,E3276,Master,E3276,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E3276_web.jpg,153.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41000,E41000,,E41000,Master,E41000,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41000_web.jpg,155.98,Roll,1,1,Textural,Orange,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41001,E41001,,E41001,Master,E41001,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41001_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41011,E41011,,E41011,Master,E41011,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41011_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41012,E41012,,E41012,Master,E41012,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41012_web.jpg,155.98,Roll,1,1,Textural,Neutral,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41016,E41016,,E41016,Master,E41016,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41016_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41018,E41018,,E41018,Master,E41018,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41018_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
"A,H",Asiana,Naturals,Exclusive Lines,Exotic Naturals of Asia,E41021,E41021,,E41021,Master,E41021,,"grasscloth, weave, woven, jute, sisal, arrowroot, hyacinth",https://s3-us-west-2.amazonaws.com/astek-product-images/Exotic_Naturals_of_Asia/E41021_web.jpg,155.98,Roll,1,1,Textural,Yellow,Paper,Paper,36,8,,,,,Random,,5,,Strippable,Dust,,Class A,,,No
