websites,vendor,country_of_origin,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order,package_width,package_height,package_depth
"A,H",Astek,US,Digital,Studio,Digital Library,Gismonda,AD034,Domaine,Color Way,AD034-1,,"floral, illustrative, poppy, botanical, leaf, foliage",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD034-1_Gismonda_DOMAINE.jpg,,6.50,Square Foot,1,30,Art Nouveau,"Yellow, Red, Green",Matte Vinyl,,,,,,,,46,26,Straight,46,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A,H",Astek,US,Digital,Studio,Digital Library,Gismonda,AD034,Jadot,Color Way,AD034-2,,"floral, illustrative, poppy, botanical, leaf, foliage",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD034-2_Gismonda_JADOT.jpg,,6.50,Square Foot,1,30,Art Nouveau,"Red, Yellow, Green",Matte Vinyl,,,,,,,,46,26,Straight,46,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A,H",Astek,US,Digital,Studio,Digital Library,Gismonda,AD034,Grenoble,Color Way,AD034-3,,"floral, illustrative, poppy, botanical, leaf, foliage",https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD034-3_Gismonda_GRENOBLE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Digital_Library/AD034-3_Gismonda_GRENOBLE_install.jpg,6.50,Square Foot,1,30,Art Nouveau,"Off-White, Red, Green",Matte Vinyl,,,,,,,,46,26,Straight,46,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
