websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Damasks,Grille,AD460,Valiant,Color Way,AD460-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD460-2_Grille_VALIANT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD460-2_Grille_VALIANT_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional",Grey,Matte Vinyl,,,,,,52,16,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Grille,AD460,Valor,Color Way,AD460-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD460-3_Grille_VALOR.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Blue,Matte Vinyl,,,,,,52,16,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Madison,AD461,Dainty,Color Way,AD461-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD461-1_Madison_DAINTY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD461-1_Madison_DAINTY_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional",Grey,matte Vinyl,,,,,,42,12,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Madison,AD461,Darling,Color Way,AD461-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD461-2_Madison_DARLING.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Black and White,Matte Vinyl,,,,,,42,12,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Madison,AD461,Delicate,Color Way,AD461-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD461-3_Madison_DELICATE.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Grey,Matte Vinyl,,,,,,42,12,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Symphony,AD462,Chanson,Color Way,AD462-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD462-1_Symphony_CHANSON.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD462-1_Symphony_CHANSON_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional",Blue,Matte Vinyl,,,,,,52,29,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Symphony,AD462,Classical,Color Way,AD462-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD462-2_Symphony_CLASSICAL.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Green,Matte Vinyl,,,,,,52,29,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Symphony,AD462,Musique,Color Way,AD462-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD462-3_Symphony_MUSIQUE.jpg,,7.00,Square Foot,1,1,"Damask, Traditional","Blue, Cream",Matte Vinyl,,,,,,52,29,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Tapestry,AD463,Dentelle,Color Way,AD463-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD463-1_Tapestry_DENTELLE.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Purple,Matte Vinyl,,,,,,52,30,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Tapestry,AD463,Rideau,Color Way,AD463-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD463-2_Tapestry_RIDEAU.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD463-2_Tapestry_RIDEAU_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional",Blue,Matte Vinyl,,,,,,52,30,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Tapestry,AD463,Tissu,Color Way,AD463-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD463-3_Tapestry_TISSU.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Green,Matte Vinyl,,,,,,52,30,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Urbana,AD464,Ardor,Color Way,AD464-1,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD464-1_Urbana_ARDOR.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Green,Matte Vinyl,,,,,,52,25,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Urbana,AD464,Chagrin,Color Way,AD464-2,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD464-2_Urbana_CHAGRIN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD464-2_Urbana_CHAGRIN_install.jpg,7.00,Square Foot,1,1,"Damask, Traditional",Grey,Matte Vinyl,,,,,,52,25,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Damasks,Urbana,AD464,Decorum,Color Way,AD464-3,,"textile, fabric, classic, traditional, heritage",https://s3-us-west-2.amazonaws.com/astek-product-images/Damasks/AD464-3_Urbana_DECORUM.jpg,,7.00,Square Foot,1,1,"Damask, Traditional",Purple,Matte Vinyl,,,,,,52,25,,,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
