websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
H,Astek,Digital,Vintage,1920s-1930s,Muriel,AV414,Muriel,Master,AV414,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV414_Muriel_MURIEL.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,17.33,15.2,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Henrietta,AV415,Henrietta,Master,AV415,,"leaf, leaves, foliage, greenery",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV415_Henrietta_HENRIETTA.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Yellow,Paper,,,,,,,,6.5,12.6,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Gail,AV416,Gail,Master,AV416,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV416_Gail_GAIL.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,17.33,14.3,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Theresa,AV417,Theresa,Master,AV417,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV417_Theresa_THERESA.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,13,15.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Bernice,AV418,Bernice,Master,AV418,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV418_Bernice_BERNICE.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical","Yellow, Green",Paper,,,,,,,,13,12.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Nadine,AV419,Nadine,Master,AV419,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV419_Nadine_NADINE.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,17.33,15.8,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Doris,AV420,Doris,Master,AV420,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV420_Doris_DORIS.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,13,8.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Rosie,AV421,Rosie,Master,AV421,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV421_Rosie_ROSIE.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,13,12.2,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Eliza,AV422,Eliza,Master,AV422,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV422_Eliza_ELIZA.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,13,7.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
H,Astek,Digital,Vintage,1920s-1930s,Nancy,AV423,Nancy,Master,AV423,,"flower, flowers, floral, decorative, ornamental, blossoms, blooms",https://s3-us-west-2.amazonaws.com/astek-product-images/1920s-1930s_pt_2/AV423_Nancy_NANCY.jpg,,6.5,Square Foot,1,30,"Retro + Vintage, Botanical",Multi,Paper,,,,,,,,10.4,11.2,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
