websites,vendor,product_category,product_type,collection,design_name,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17150,17150,Master,17150,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17150.jpg,72.90,Roll,1,1,"Painterly, Botanical","Blue, Yellow",Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17151,17151,Master,17151,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17151.jpg,72.90,Roll,1,1,"Painterly, Botanical","Pink, Green",Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17152,17152,Master,17152,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17152.jpg,72.90,Roll,1,1,"Painterly, Botanical",Pink,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17153,17153,Master,17153,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17153.jpg,72.90,Roll,1,1,"Painterly, Botanical",Green,Paper,Paper,20.5,11,,,,12,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17160,17160,Master,17160,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17160.jpg,72.90,Roll,1,1,Painterly,Turquoise,Paper,Paper,20.5,11,,,,,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17161,17161,Master,17161,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17161.jpg,72.90,Roll,1,1,Painterly,Blue,Paper,Paper,20.5,11,,,,,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17162,17162,Master,17162,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17162.jpg,72.90,Roll,1,1,Painterly,Pink,Paper,Paper,20.5,11,,,,,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17163,17163,Master,17163,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17163.jpg,72.90,Roll,1,1,Painterly,White,Paper,Paper,20.5,11,,,,,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17170,17170,Master,17170,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17170.jpg,72.90,Roll,1,1,Painterly,Yellow,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17171,17171,Master,17171,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17171.jpg,72.90,Roll,1,1,Painterly,Yellow,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17172,17172,Master,17172,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17172.jpg,72.90,Roll,1,1,Painterly,Yellow,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17180,17180,Master,17180,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17180.jpg,72.90,Roll,1,1,Painterly,Green,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17181,17181,Master,17181,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17181.jpg,72.90,Roll,1,1,Painterly,Purple,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17182,17182,Master,17182,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17182.jpg,72.90,Roll,1,1,Painterly,Beige,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17190,17190,Master,17190,,"painterly, botanical, nature, field",https://s3.amazonaws.com/astek/Van+Gogh/17190.jpg,72.90,Roll,1,1,Painterly,Multi,Paper,Paper,20.5,11,,,,10.8,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17191,17191,Master,17191,,"painterly, conversational, books, novels, literary",https://s3.amazonaws.com/astek/Van+Gogh/17191.jpg,72.90,Roll,1,1,Painterly,Purple,Paper,Paper,20.5,11,,,,10.8,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17192,17192,Master,17192,,"painterly, conversational, books, novels, literary",https://s3.amazonaws.com/astek/Van+Gogh/17192.jpg,72.90,Roll,1,1,Painterly,Multi,Paper,Paper,20.5,11,,,,10.8,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17200,17200,Master,17200,,"painterly, conversational",https://s3.amazonaws.com/astek/Van+Gogh/17200.jpg,72.90,Roll,1,1,"Painterly,",Beige,Paper,Paper,20.5,11,,,,12.6,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17201,17201,Master,17201,,"painterly, conversational",https://s3.amazonaws.com/astek/Van+Gogh/17201.jpg,72.90,Roll,1,1,"Painterly,",Grey,Paper,Paper,20.5,11,,,,,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17202,17202,Master,17202,,"painterly, conversational",https://s3.amazonaws.com/astek/Van+Gogh/17202.jpg,72.90,Roll,1,1,"Painterly,",Grey,Paper,Paper,20.5,11,,,,,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17203,17203,Master,17203,,"painterly, conversational",https://s3.amazonaws.com/astek/Van+Gogh/17203.jpg,72.90,Roll,1,1,"Painterly,",Blue,Paper,Paper,20.5,11,,,,12.6,Offset,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17210,17210,Master,17210,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17210.jpg,72.90,Roll,1,1,"Painterly, Botanical",Green,Paper,Paper,20.5,11,,,,,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17211,17211,Master,17211,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17211.jpg,72.90,Roll,1,1,"Painterly, Botanical",Green,Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
"A, H",BN,Specialty,Exclusive Lines,Van Gogh,17212,17212,Master,17212,,"painterly, botanical, floral, blossom, branch, nature",https://s3.amazonaws.com/astek/Van+Gogh/17212.jpg,72.90,Roll,1,1,"Painterly, Botanical","Beige, Green",Paper,Paper,20.5,11,,,,25.1,Straight,,3,Paste the Wall,,Scrubbable,Very Good,Class A,,,No
