websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Graphite,Color Way,JA101-7,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-7_Etched_GRAPHITE.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Topeka,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Etched,JA101,Ground,Color Way,JA101-8,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-8_Etched_GROUND.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Topeka,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Etched,JA101,Whitegold,Color Way,JA101-9,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA101-9_Etched_WHITEGOLD.jpg,,6.66,Square Foot,1,1,Painterly,Neutral,Silver Mylar,,,,,,,,13,17,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Fired,JA102,Steel,Color Way,JA102-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-1_Fired_STEEL.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Fired,JA102,Bronze,Color Way,JA102-2,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-2_Fired_BRONZE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Fired,JA102,Whitegold,Color Way,JA102-3,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-3_Fired_WHITEGOLD.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Silver Mylar,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Fired,JA102,Bone,Color Way,JA102-4,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-4_Fired_BONE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Sonora,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Fired,JA102,Taupe,Color Way,JA102-5,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-5_Fired_TAUPE.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Sonora,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Featured Designers,Glazed,Fired,JA102,Fog,Color Way,JA102-6,,"tonal, ceramic, ceramics, glaze, pottery, textured, oval, geometric, accent, bubbles, circles, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA102-6_Fired_FOG.jpg,,6.66,Square Foot,1,1,Faux Finish,Neutral,Sonora,,,,,,,,5,5,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Featured Designers, Metallic",Glazed,Wired,JA103,Bronze,Color Way,JA103-1,,"tonal, ceramic, ceramics, glaze, pottery, textured, geometric, accent, linear, lines, striae, organic",https://s3-us-west-2.amazonaws.com/astek-product-images/Glazed/JA103-1_Wired_BRONZE.jpg,,6.66,Square Foot,1,1,"Contemporary, Painterly",Neutral,Silver Mylar,,,,,,,,7,10,Straight,,0.1,Paste the Wall,Strippable,Spongeable,Good,Class A,Digital Print,Untrimmed,Yes
