websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Layered Earth,Peak,AD083,Frost,Color Way,AD083-3,,"geometric, abstract, handdrawn",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD083-3_Peak_FROST.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD083-3_Peak_FROST_install.jpg,7.00,Square Foot,1,1,"Geometric, Illustrative, abstract","Neutral, White, Grey",Topeka,,,,,,,,52,15.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Peak,AD083,Onyx,Color Way,AD083-4,,"geometric, abstract, handdrawn",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD083-4_Peak_ONYX.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD083-4_Peak_ONYX_install.jpg,7.00,Square Foot,1,1,"Geometric, Illustrative, abstract","Black, Neutral",Topeka,,,,,,,,52,15.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Rainfall,AD084,Kelp,Color Way,AD084-1,,"abstract, watercolor, painterly",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD084-1_Rainfall_KELP.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD084-1_Rainfall_KELP_install.jpg,7.50,Square Foot,1,1,Painterly,"Green, Beige",White Mylar,,,,,,,,52,18.62,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Rainfall,AD084,Midnight,Color Way,AD084-2,,"abstract, watercolor, painterly",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD084-2_Rainfall_MIDNIGHT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD084-2_Rainfall_MIDNIGHT_install.jpg,7.50,Square Foot,1,1,Painterly,"Brown, Pink, Neutral",White Mylar,,,,,,,,52,18.62,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Rainfall,AD084,Seashell,Color Way,AD084-3,,"abstract, watercolor, painterly",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD084-3_Rainfall_SEASHELL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD084-3_Rainfall_SEASHELL_install.jpg,7.50,Square Foot,1,1,Painterly,"Neutral, Pink",White Mylar,,,,,,,,52,18.62,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Sequoia,AD085,Briar,Color Way,AD085-1,,"texture, natural, abstract",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD085-1_Sequoia_BRIAR.jpg,,7.00,Square Foot,1,1,Painterly,"Grey, Brown",Sonora,,,,,,,,51.76,31.05,Straight,51.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Sequoia,AD085,Linen,Color Way,AD085-2,,"texture, natural, abstract",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD085-2_Sequoia_LINEN.jpg,,7.00,Square Foot,1,1,Painterly,"Neutral, Grey, Beige, Off-White",Sonora,,,,,,,,51.76,31.05,Straight,51.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Sequoia,AD085,Slate,Color Way,AD085-3,,"texture, natural, abstract",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD085-3_Sequoia_SLATE.jpg,,7.00,Square Foot,1,1,Painterly,Blue,Sonora,,,,,,,,51.76,31.05,Straight,51.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Shale,AD086,Carbon,Color Way,AD086-1,,"abstract, illustrative, handdrawn",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD086-1_Shale_CARBON.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD086-1_Shale_CARBON_install.jpg,7.00,Square Foot,1,1,"Illustrative, abstract","Black, Black and White",Sandstone,,,,,,,,30.58,27,Half-drop,30.58,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Shale,AD086,Ink,Color Way,AD086-2,,"abstract, illustrative, handdrawn",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD086-2_Shale_INK.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD086-2_Shale_INK_install.jpg,7.00,Square Foot,1,1,"Illustrative, abstract",Black and White,Sandstone,,,,,,,,30.58,27,Half-drop,30.58,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Shale,AD086,Pool,Color Way,AD086-3,,"abstract, illustrative, handdrawn",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD086-3_Shale_POOL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD086-3_Shale_POOL_install.jpg,7.00,Square Foot,1,1,"Illustrative, abstract",Blue,Sandstone,,,,,,,,30.58,27,Half-drop,30.58,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Synthesis,AD087,Cyanotype,Color Way,AD087-1,,"botanical, kaleidoscopic, photographic",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD087-1_Synthesis_CYANOTYPE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD087-1_Synthesis_CYANOTYPE_install.jpg,7.50,Square Foot,1,1,"Contemporary, Photographic, botanical",Blue,White Mylar,,,,,,,,45,13.55,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Synthesis,AD087,Ebony,Color Way,AD087-2,,"botanical, kaleidoscopic, photographic",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD087-2_Synthesis_EBONY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD087-2_Synthesis_EBONY_install.jpg,7.50,Square Foot,1,1,"Contemporary, Photographic, botanical",Black,White Mylar,,,,,,,,45,13.55,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Synthesis,AD087,Whisper,Color Way,AD087-3,,"botanical, kaleidoscopic, photographic",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD087-3_Synthesis_WHISPER.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD087-3_Synthesis_WHISPER_install.jpg,7.50,Square Foot,1,1,"Contemporary, Photographic, botanical","Grey, Off-White",White Mylar,,,,,,,,45,13.55,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Terrain,AD088,Harvest,Color Way,AD088-1,,"collage, photographic, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD088-1_Terrain_HARVEST.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD088-1_Terrain_HARVEST_install.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, abstract",Multi,Sandstone,,,,,,,,50.695,40.74,Straight,50.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Terrain,AD088,Moonstone,Color Way,AD088-2,,"collage, photographic, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD088-2_Terrain_MOONSTONE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD088-2_Terrain_MOONSTONE_install.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, abstract","Multi, Cream",Sandstone,,,,,,,,50.695,40.74,Straight,50.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Terrain,AD088,Obsidian,Color Way,AD088-3,,"collage, photographic, ",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD088-3_Terrain_OBSIDIAN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD088-3_Terrain_OBSIDIAN_install.jpg,7.00,Square Foot,1,1,"Contemporary, Painterly, abstract",Black and White,Sandstone,,,,,,,,50.695,40.74,Straight,50.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Thatch,AD089,Coal,Color Way,AD089-1,,"texture, natural",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD089-1_Thatch_COAL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD089-1_Thatch_COAL_install.jpg,7.00,Square Foot,1,1,"Textural, abstract",Grey,Sonora,,,,,,,,39,32.34,Straight,39,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Thatch,AD089,Mist,Color Way,AD089-2,,"texture, natural",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD089-2_Thatch_MIST.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD089-2_Thatch_MIST_install.jpg,7.00,Square Foot,1,1,"Textural, abstract",Blue,Sonora,,,,,,,,39,32.34,Straight,39,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Thatch,AD089,Sage,Color Way,AD089-3,,"texture, natural",https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD089-3_Thatch_SAGE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Layered_Earth/AD089-3_Thatch_SAGE_install.jpg,7.00,Square Foot,1,1,"Textural, abstract",Neutral,Sonora,,,,,,,,39,32.34,Straight,39,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
