websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,install_images,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-15,FM-15,,FM-15,Master,FM-15,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-15_web.jpg,995.28,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-16,FM-16,,FM-16,Master,FM-16,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-16_web.jpg,"1,077.52",Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-17,FM-17,,FM-17,Master,FM-17,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-17_web.jpg,"1,077.52",Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-18,FM-18,,FM-18,Master,FM-18,,"metal, metallic, shine, handcrafted, aluminum, silver, silver leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-18_web.jpg,873.60,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-19,FM-19,,FM-19,Master,FM-19,,"metal, metallic, shine, handcrafted",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-19_web.jpg,946.40,Roll,1,1,Textural,Silver,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-20,FM-20,,FM-20,Master,FM-20,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-20_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-21,FM-21,,FM-21,Master,FM-21,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-21_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-22,FM-22,,FM-22,Master,FM-22,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-22_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-23,FM-23,,FM-23,Master,FM-23,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-23_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
A,Astek,3-6 weeks,Naturals,Metallic,Fine Metals of Asia,FM-24,FM-24,,FM-24,Master,FM-24,,"metal, metallic, shine, handcrafted, gold leaf, gold, brass",https://s3-us-west-2.amazonaws.com/astek-product-images/Fine_Metals_of_Asia/FM-24_web.jpg,"1,077.52",Roll,1,1,Textural,Gold,,Paper,36,8,,,,,Random,,7,Paste the Paper,,,,Class A,,,No
