websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Lumiere,AD215,Pearl,Color Way,AD215-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD215-3_Lumiere_PEARL.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD215-3_Lumiere_PEARL_install.jpg,9.99,Square Foot,1,1,Photographic,"White, Silver",White Mylar,,,,,,,,23.44,18.166,Straight,46.89,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Margarida,AD216,Classic,Color Way,AD216-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-1_Margarida_CLASSIC.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-1_Margarida_CLASSIC_install.jpg,9.99,Square Foot,1,1,Illustrative,"Grey, Silver",White Mylar,,,,,,,,25.27,13.19,Straight,50.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Margarida,AD216,Glamour,Color Way,AD216-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-2_Margarida_GLAMOUR.jpg,,9.99,Square Foot,1,1,Illustrative,"Black, Gold",Gold Mylar,,,,,,,,25.27,13.19,Straight,50.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Margarida,AD216,Rose Gold,Color Way,AD216-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD216-3_Margarida_ROSEGOLD.jpg,,9.99,Square Foot,1,1,Illustrative,"White, Gold, Cream",Gold Mylar,,,,,,,,25.27,13.19,Straight,50.54,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Passementerie,AD217,Rose Gold,Color Way,AD217-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD217-1_Passementerie_ROSEGOLD.jpg,,9.99,Square Foot,1,1,Illustrative,"White, Gold, Cream",Gold Mylar,,,,,,,,9.96,10,Straight,49.79,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Passementerie,AD217,Creme,Color Way,AD217-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD217-2_Passementerie_CREME.jpg,,9.99,Square Foot,1,1,Illustrative,"Neutral, Silver",Silver Mylar,,,,,,,,9.96,10,Straight,49.79,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Passementerie,AD217,Noir,Color Way,AD217-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD217-3_Passementerie_NOIR.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD217-3_Passementerie_NOIR_install.jpg,9.99,Square Foot,1,1,Illustrative,Black,Black Mylar,,,,,,,,9.96,10,Straight,49.79,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Rosette,AD218,Glamour,Color Way,AD218-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby, floral, rose",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD218-1_Rosette_GLAMOUR.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD218-1_Rosette_GLAMOUR_install.jpg,9.99,Square Foot,1,1,Botanical,"Gold, Black",Gold Mylar,,,,,,,,13,17.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Rosette,AD218,Noir,Color Way,AD218-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby, floral, rose",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD218-2_Rosette_NOIR.jpg,,9.99,Square Foot,1,1,Botanical,Black,Black Mylar,,,,,,,,13,17.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Rosette,AD218,Rose Gold,Color Way,AD218-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby, floral, rose",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD218-3_Rosette_ROSEGOLD.jpg,,9.99,Square Foot,1,1,Botanical,"Gold, White, Cream",Gold Mylar,,,,,,,,13,17.7,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Seasong,AD219,Bronze,Color Way,AD219-1,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD219-1_Seasong_BRONZE.jpg,,9.99,Square Foot,1,1,Art Deco,"Bronze, Silver",Silver Mylar,,,,,,,,26,4.333,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Seasong,AD219,Night,Color Way,AD219-2,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD219-2_Seasong_NIGHT.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD219-2_Seasong_NIGHT_install.jpg,9.99,Square Foot,1,1,Art Deco,"Black, Silver",Silver Mylar,,,,,,,,26,4.333,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,"Studio, Metallic",Lavish,Seasong,AD219,Opal,Color Way,AD219-3,,"Deco, Art Deco, geometric, 1920s, modern, stylish, glam, classy, Gatsby",https://s3-us-west-2.amazonaws.com/astek-product-images/Lavish/AD219-3_Seasong_OPAL.jpg,,9.99,Square Foot,1,1,Art Deco,"Neutral, Silver",White Mylar,,,,,,,,26,4.333,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
