websites,vendor,lead_time,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0819,VC0819,VC0819,Master,VC0819,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0819.jpg,,265.00,Roll,1,1,"Damask, Traditional","Purple, Black",,Paper,30,15,,,,,,32,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0820,VC0820,VC0820,Master,VC0820,,"harlequin, diamond",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0820.jpg,,265.00,Roll,1,1,Geometric,Black,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0821,VC0821,VC0821,Master,VC0821,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0821.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0822,VC0822,VC0822,Master,VC0822,,"regal, royal, crest, classical,",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0822.jpg,,265.00,Roll,1,1,Traditional,Black,,Paper,30,15,,,,,,30,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0823,VC0823,VC0823,Master,VC0823,,"scroll, damask, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0823.jpg,,265.00,Roll,1,1,Damask,"Silver, Black",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0824,VC0824,VC0824,Master,VC0824,,stripe,https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0824.jpg,,265.00,Roll,1,1,Stripes + Plaid,"Silver, Black",,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0825,VC0825,VC0825,Master,VC0825,,"leaf, toile, damask, vine, leaves, vines, flower, flowers",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0825.jpg,,265.00,Roll,1,1,"Damask, Traditional",Siver,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0826,VC0826,VC0826,Master,VC0826,,"leaf, toile, damask, vine, leaves, vines, flower, flowers",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0826.jpg,,265.00,Roll,1,1,"Botanical, Damask",Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0827,VC0827,VC0827,Master,VC0827,,"link, chain, chainlink, chain link, square, trellis",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0827.jpg,,265.00,Roll,1,1,Geometric,Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
"A,H",Astek,1-2 weeks,Specialty,Residential,Velvet Collectibles III,VC0828,VC0828,VC0828,Master,VC0828,,"damask, brocade, scroll, classical, flourish",https://s3-us-west-2.amazonaws.com/astek-product-images/Velvet_Collectables_III/VC0828.jpg,,265.00,Roll,1,1,"Damask, Traditional",Black and White,,Paper,30,15,,,,,,36,Straight,27,13,Paste the Paper,Strippable,Light Vacuum,Good,Class A,Flock,1.5,No
