websites,vendor,product_category,product_type,collection,design_name,variant_name_old,variant_name,variant_type,sku,description,keywords,images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width,roll_length,mural_width,mural_height,motif_width,motif_height,repeat_match_type,printed_width,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A,H",Astek,Digital,Studio,Layered Earth,Peak,Peak - Onyx,Onyx,Color Way,AD083-4,,"geometric, abstract, handdrawn","https://s3.amazonaws.com/astek/designs/Peak_Onyx.jpg, https://s3.amazonaws.com/astek/designs/Peak_Onyx_b.jpg, https://s3.amazonaws.com/astek/designs/Peak_Onyx_RoomSet.jpg",7,Square Foot,1,1,"Geometric, Illustrative, abstract",Neutral,Topeka,,,,,,52,15.25,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Rainfall,Rainfall - Kelp,Kelp,Color Way,AD084-1,,"abstract, watercolor, painterly","https://s3.amazonaws.com/astek/designs/Rainfall_Kelp.jpg, https://s3.amazonaws.com/astek/designs/Rainfall_Kelp_RoomSet.jpg, https://s3.amazonaws.com/astek/designs/Rainfall_Kelp_RoomSet_b.jpg",7.5,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,52,18.62,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Rainfall,Rainfall - Midnight,Midnight,Color Way,AD084-2,,"abstract, watercolor, painterly","https://s3.amazonaws.com/astek/designs/Rainfall_Midnight.jpg, https://s3.amazonaws.com/astek/designs/Rainfall_Midnight_RoomSet.jpg",7.5,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,52,18.62,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Rainfall,Rainfall - Seashell,Seashell,Color Way,AD084-3,,"abstract, watercolor, painterly","https://s3.amazonaws.com/astek/designs/Rainfall_Seashell.jpg, https://s3.amazonaws.com/astek/designs/Rainfall_Seashell_b.jpg, https://s3.amazonaws.com/astek/designs/Rainfall_Shell_RoomSet.jpg",7.5,Square Foot,1,1,Painterly,Neutral,White Mylar,,,,,,52,18.62,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Sequoia,Sequoia - Briar,Briar,Color Way,AD085-1,,"texture, natural, abstract",https://s3.amazonaws.com/astek/designs/Sequoia_Briar.jpg,7,Square Foot,1,1,Painterly,Neutral,Sonora,,,,,,51.76,31.05,Straight,51.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Sequoia,Sequoia - Linen,Linen,Color Way,AD085-2,,"texture, natural, abstract",https://s3.amazonaws.com/astek/designs/Sequoia_Linen.jpg,7,Square Foot,1,1,Painterly,Neutral,Sonora,,,,,,51.76,31.05,Straight,51.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Sequoia,Sequoia - Slate,Slate,Color Way,AD085-3,,"texture, natural, abstract",https://s3.amazonaws.com/astek/designs/Sequoia_Slate.jpg,7,Square Foot,1,1,Painterly,Neutral,Sonora,,,,,,51.76,31.05,Straight,51.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Shale,Shale - Carbon,Carbon,Color Way,AD086-1,,"abstract, illustrative, handdrawn","https://s3.amazonaws.com/astek/designs/Shale_Carbon.jpg, https://s3.amazonaws.com/astek/designs/Shale_Carbon_RoomSet.jpg",7,Square Foot,1,1,"Illustrative, abstract",Neutral,Sandstone,,,,,,30.58,27,Half-drop,30.58,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Shale,Shale - Ink,Ink,Color Way,AD086-2,,"abstract, illustrative, handdrawn","https://s3.amazonaws.com/astek/designs/Shale_ink.jpg, https://s3.amazonaws.com/astek/designs/Shale_Ink_RoomSet.jpg",7,Square Foot,1,1,"Illustrative, abstract",Neutral,Sandstone,,,,,,30.58,27,Half-drop,30.58,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Shale,Shale - Pool,Pool,Color Way,AD086-3,,"abstract, illustrative, handdrawn","https://s3.amazonaws.com/astek/designs/Shale_Pool.jpg, https://s3.amazonaws.com/astek/designs/Shale_Pool_RoomSet.jpg",7,Square Foot,1,1,"Illustrative, abstract",Neutral,Sandstone,,,,,,30.58,27,Half-drop,30.58,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Synthesis,Synthesis - Cyanotype,Cyanotype,Color Way,AD087-1,,"botanical, kaleidoscopic, photographic","https://s3.amazonaws.com/astek/designs/Synthesis_Cyanotype.jpg, https://s3.amazonaws.com/astek/designs/Synthesis_Cyanotype_b.jpg, https://s3.amazonaws.com/astek/designs/Synthesis_Cyanotype_RoomSet.jpg",7.5,Square Foot,1,1,"Contemporary, Photographic, botanical",Blue,White Mylar,,,,,,45,13.55,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Synthesis,Synthesis - Ebony,Ebony,Color Way,AD087-2,,"botanical, kaleidoscopic, photographic","https://s3.amazonaws.com/astek/designs/Synthesis_Ebony.jpg, https://s3.amazonaws.com/astek/designs/Synthesis_Ebony_RoomSet.jpg",7.5,Square Foot,1,1,"Contemporary, Photographic, botanical",Neutral,White Mylar,,,,,,45,13.55,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Synthesis,Synthesis - Whisper,Whisper,Color Way,AD087-3,,"botanical, kaleidoscopic, photographic","https://s3.amazonaws.com/astek/designs/Synthesis_Whisper.jpg, https://s3.amazonaws.com/astek/designs/Synthesis_Whisper_RoomSet.jpg",7.5,Square Foot,1,1,"Contemporary, Photographic, botanical",Neutral,White Mylar,,,,,,45,13.55,Straight,45,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Terrain,Terrain - Harvest,Harvest,Color Way,AD088-1,,"collage, photographic, ","https://s3.amazonaws.com/astek/designs/Terrain_Harvest.jpg, https://s3.amazonaws.com/astek/designs/Terrain_Harvest_room.jpg",7,Square Foot,1,1,"Contemporary, Painterly, abstract",Neutral,Sandstone,,,,,,50.695,40.74,Straight,50.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Terrain,Terrain - Moonstone,Moonstone,Color Way,AD088-2,,"collage, photographic, ","https://s3.amazonaws.com/astek/designs/Terrain_Moonstone.jpg, https://s3.amazonaws.com/astek/designs/Terrain_Moonstone_room.jpg",7,Square Foot,1,1,"Contemporary, Painterly, abstract",Neutral,Sandstone,,,,,,50.695,40.74,Straight,50.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Terrain,Terrain - Obsidian,Obsidian,Color Way,AD088-3,,"collage, photographic, ","https://s3.amazonaws.com/astek/designs/Terrain_Obsidian.jpg, https://s3.amazonaws.com/astek/designs/Terrain_Obsidian_room.jpg",7,Square Foot,1,1,"Contemporary, Painterly, abstract",Neutral,Sandstone,,,,,,50.695,40.74,Straight,50.7,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Thatch,Thatch - Coal,Coal,Color Way,AD089-1,,"texture, natural","https://s3.amazonaws.com/astek/designs/Thatch_Coal.jpg, https://s3.amazonaws.com/astek/designs/Thatch_Coal_room.jpg",7,Square Foot,1,1,"Textural, abstract",Neutral,Sonora,,,,,,39,32.34,Straight,39,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Thatch,Thatch - Mist,Mist,Color Way,AD089-2,,"texture, natural","https://s3.amazonaws.com/astek/designs/Thatch_Mist.jpg, https://s3.amazonaws.com/astek/designs/Thatch_Mist_room.jpg",7,Square Foot,1,1,"Textural, abstract",Neutral,Sonora,,,,,,39,32.34,Straight,39,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A,H",Astek,Digital,Studio,Layered Earth,Thatch,Thatch - Sage,Sage,Color Way,AD089-3,,"texture, natural","https://s3.amazonaws.com/astek/designs/Thatch_Sage.jpg, https://s3.amazonaws.com/astek/designs/Thatch_Sage_room.jpg",7,Square Foot,1,1,"Textural, abstract",Neutral,Sonora,,,,,,39,32.34,Straight,39,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
