websites,vendor,country_of_origin,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order,package_width,package_height,package_depth
"A, H",Astek,US,Digital,Studio,Kahala,Napali,AD632,Clement,Color Way,AD632-2,,"hawaii, leaf, palm",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD632-2_Napali_CLEMENT.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,52,31.2,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Napali,AD632,Summery,Color Way,AD632-3,,"hawaii, leaf, palm",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD632-3_Napali_SUMMERY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD632-3_Napali_SUMMERY_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,52,31.2,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Ohia,AD633,Idyllic,Color Way,AD633-1,,"hawaii, leaf, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD633-1_Ohia_IDYLLIC.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD633-1_Ohia_IDYLLIC_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Blue, Multi",Smooth Topeka,,,,,,,,52,46.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Ohia,AD633,Paradisal,Color Way,AD633-2,,"hawaii, leaf, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD633-2_Ohia_PARADISAL.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Multi, Beige",Smooth Topeka,,,,,,,,52,46.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Ohia,AD633,Utopian,Color Way,AD633-3,,"hawaii, leaf, flower",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD633-3_Ohia_UTOPIAN.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Purple, Multi",Smooth Topeka,,,,,,,,52,46.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Poipu,AD634,King Palm,Color Way,AD634-1,,"hawaii, palm, palm tree",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD634-1_Poipu_KINGPALM.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Cream, Multi",Smooth Topeka,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Poipu,AD634,Palmetto,Color Way,AD634-2,,"hawaii, palm, palm tree",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD634-2_Poipu_PALMETTO.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Neutral,Smooth Topeka,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Poipu,AD634,Queen Palm,Color Way,AD634-3,,"hawaii, palm, palm tree",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD634-3_Poipu_QUEENPALM.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD634-3_Poipu_QUEENPALM_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Black, Multi",Smooth Topeka,,,,,,,,26,26,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Waikiki,AD635,Ebullience,Color Way,AD635-1,,"hawaii, leaf, banana leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD635-1_Waikiki_EBULLIENCE.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD635-1_Waikiki_EBULLIENCE_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Blue, Orange, Multi",Smooth Topeka,,,,,,,,52,39.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Waikiki,AD635,Exuberant,Color Way,AD635-2,,"hawaii, leaf, banana leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD635-2_Waikiki_EXUBERANT.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,52,39.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Waikiki,AD635,Jubilation,Color Way,AD635-3,,"hawaii, leaf, banana leaf",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD635-3_Waikiki_JUBILATION.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Green,Smooth Topeka,,,,,,,,52,39.1,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Wailea,AD636,Beautific,Color Way,AD636-1,,"hawaii, leaf, flower, bird of paradise",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD636-1_Wailea_BEAUTIFIC.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative","Yellow, Multi",Smooth Topeka,,,,,,,,26,28.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Wailea,AD636,Divine,Color Way,AD636-2,,"hawaii, leaf, flower, bird of paradise",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD636-2_Wailea_DIVINE.jpg,,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,26,28.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
"A, H",Astek,US,Digital,Studio,Kahala,Wailea,AD636,Empyrean,Color Way,AD636-3,,"hawaii, leaf, flower, bird of paradise",https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD636-3_Wailea_EMPYREAN.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Kahala/AD636-3_Wailea_EMPYREAN_install.jpg,7.00,Square Foot,1,30,"Tropical, Botanical, Illustrative",Multi,Smooth Topeka,,,,,,,,26,28.4,Straight,52,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes,7,7,54
