websites,vendor,product_category,product_type,collection,design_name,design_sku,variant_name,variant_type,sku,description,keywords,images,install_images,price,sale_unit,sale_quantity,minimum_quantity,style,color,substrate,backing,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,vertical_repeat_inches,repeat_match_type,printed_width_inches,weight,application,removability,washability,color_fastness,fire_rating,print_type,margin_trim,print_to_order
"A, H",Astek,Digital,Studio,Revival,Golden Afternoon,AD038,Evening,Color Way,AD038-2,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD038-2_Golden_Afternoon_EVENING.jpg,,9.99,Square Foot,1,1,"Damask, Traditional",Black and White,Matte Vinyl,,,,,,,,18.38,18.39,Straight,36.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Golden Afternoon,AD038,Woodblock,Color Way,AD038-3,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD038-3_Golden_Afternoon_WOODBLOCK.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD038-3_Gold_Afternoon_WOODBLOCK_install.jpg,9.99,Square Foot,1,1,"Damask, Traditional","Pink, Grey",Matte Vinyl,,,,,,,,18.38,18.39,Straight,36.76,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Wild World,AD090,Folktale,Color Way,AD090-1,,"decoratove, folk art",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD090-1_Wild_World_FOLKTALE.jpg,,9.99,Square Foot,1,1,Traditional,"Bronze, Grey, Neutral",Brushed Copper Mylar,,,,,,,,13.5,27,Straight,40.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Wild World,AD090,Sugar Coated,Color Way,AD090-2,,"decoratove, folk art",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD090-2_Wild_World_SUGARCOATED.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD090-2_Wild_World_SUGARCOATED_install.jpg,9.99,Square Foot,1,1,Traditional,"Plue, Grey",Matte Vinyl,,,,,,,,13.5,27,Straight,40.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Wild World,AD090,Klondike,Color Way,AD090-3,,"decoratove, folk art",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD090-3_Wild_World_KLONDIKE.jpg,,9.99,Square Foot,1,1,Traditional,Black and White,Matte Vinyl,,,,,,,,13.5,27,Straight,40.5,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Social Butterfly,AD091,Bloom,Color Way,AD091-1,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD091-1_Social_Butterfly_BLOOM.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD091-1_Social_Butterfly_BLOOM_install.jpg,9.99,Square Foot,1,1,"Botanical, Whimsical","Red, Blue",Matte Vinyl,,,,,,,,8.96,13.44,Straight,44.833,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Social Butterfly,AD091,Antique,Color Way,AD091-2,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD091-2_Social_Butterfly_ANTIQUE.jpg,,9.99,Square Foot,1,1,"Botanical, Whimsical",Multi,Matte Vinyl,,,,,,,,8.96,13.44,Straight,44.833,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Social Butterfly,AD091,Ash,Color Way,AD091-3,,floral,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD091-3_Social_Butterfly_ASH.jpg,,9.99,Square Foot,1,1,"Botanical, Whimsical",Purple,Matte Vinyl,,,,,,,,8.96,13.44,Straight,44.833,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,"Studio, Metallic",Revival,Tatted Lace,AD092,Aged Copper,Color Way,AD092-1,,"decorative, medallion",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD092-1_Tatted_Lace_AGEDCOPPER.jpg,,9.99,Square Foot,1,1,"Botanical, Animalia, Art Nouveau",Multi,Matte Vinyl,,,,,,,,12.84,12.84,Straight,51.37,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Tatted Lace,AD092,Precious,Color Way,AD092-2,,"decorative, medallion",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD092-2_Tatted_Lace_PRECIOUS.jpg,,9.99,Square Foot,1,1,"Botanical, Animalia, Art Nouveau","Black and White, Grey",Matte Vinyl,,,,,,,,12.84,12.84,Straight,51.37,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
"A, H",Astek,Digital,Studio,Revival,Tatted Lace,AD092,Doily,Color Way,AD092-3,,"decorative, medallion",https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD092-3_Tatted_Lace_DOILY.jpg,https://s3-us-west-2.amazonaws.com/astek-product-images/Revival/AD092-3_Tatted_Lace_DOILY_install.jpg,9.99,Square Foot,1,1,"Botanical, Animalia, Art Nouveau","Blue, Pink",Matte Vinyl,,,,,,,,12.84,12.84,Straight,51.37,0.1,,Strippable,Washable,,Class A,Digital Print,Untrimmed,Yes
