design_sku,price,sale_unit,sale_quantity,minimum_quantity,roll_width_inches,roll_length_yards,mural_width_inches,mural_height_inches,tile_width_inches,tile_height_inches,motif_width_inches,motif_height_inches,repeat_match_type,printed_width_inches,weight
SN203,255.83,Roll,1,1,36,8,,,,,,,,,14
SN204,106.65,Roll,1,1,36,8,,,,,,,,,14
SN205,189.00,Roll,1,1,36,8,,,,,,,,,14
SN206,222.75,Roll,1,1,36,8,,,,,,,,,14
SN207,189.75,Roll,1,1,36,8,,,,,,,,,14
SN208,148.50,Roll,1,1,36,8,,,,,,,,,14
SN209,106.65,Roll,1,1,36,8,,,,,,,,,14
SN210,328.05,Roll,1,1,36,8,,,,,,,,,14
SN211,167.40,Roll,1,1,36,8,,,,,,,,,14
SN212,106.65,Roll,1,1,36,8,,,,,,,,,14
SN213,93.15,Roll,1,1,36,8,,,,,,,,,14
SN214,139.05,Roll,1,1,36,8,,,,,,,,,14
SN215,148.50,Roll,1,1,36,8,,,,,,,,,14
SN216,139.05,Roll,1,1,36,8,,,,,,,,,14
SN217,182.25,Roll,1,1,36,8,,,,,,,,,14
SN218,240.30,Roll,1,1,36,8,,,,,,,,,14
SN219,269.33,Roll,1,1,36,8,,,,,,,,,14
SN220,83.70,Roll,1,1,36,8,,,,,,,,,14
SN221,106.65,Roll,1,1,36,8,,,,,,,,,14
SN222,255.83,Roll,1,1,36,8,,,,,,,,,14
SN223,130.95,Roll,1,1,36,8,,,,,,,,,14
SN224,340.20,Roll,1,1,36,8,,,,,,,,,14
SN225,189.00,Roll,1,1,36,8,,,,,,,,,14
SN226,93.15,Roll,1,1,36,8,,,,,,,,,14
SN227,148.50,Roll,1,1,36,8,,,,,,,,,14
SN228,139.05,Roll,1,1,36,8,,,,,,,,,14
SN229,155.25,Roll,1,1,36,8,,,,,,,,,14
SN230,89.10,Roll,1,1,36,8,,,,,,,,,14
SN231,74.25,Roll,1,1,36,8,,,,,,,,,14
SN232,93.15,Roll,1,1,36,8,,,,,,,,,14
SN233,155.25,Roll,1,1,36,8,,,,,,,,,14
SN234,155.25,Roll,1,1,36,8,,,,,,,,,14
SN235,139.05,Roll,1,1,36,8,,,,,,,,,14
SN236,148.50,Roll,1,1,36,8,,,,,,,,,14
SN237,93.15,Roll,1,1,36,8,,,,,,,,,14
SN238,93.15,Roll,1,1,36,8,,,,,,,,,14
SN239,340.20,Roll,1,1,36,8,,,,,,,,,14
SN240,93.15,Roll,1,1,36,8,,,,,,,,,14
SN241,372.60,Roll,1,1,36,8,,,,,,,,,14
SN242,83.70,Roll,1,1,36,8,,,,,,,,,14
SN243,155.25,Roll,1,1,36,8,,,,,,,,,14
SN244,162.00,Roll,1,1,36,8,,,,,,,,,14
SN245,106.65,Roll,1,1,36,8,,,,,,,,,14
SN246,139.05,Roll,1,1,36,8,,,,,,,,,14
SN247,222.75,Roll,1,1,36,8,,,,,,,,,14
SN248,218.70,Roll,1,1,36,8,,,,,,,,,14
SN249,162.00,Roll,1,1,36,8,,,,,,,,,14
SN250,288.90,Roll,1,1,36,8,,,,,,,,,14
SN251,255.83,Roll,1,1,36,8,,,,,,,,,14
SN252,106.65,Roll,1,1,36,8,,,,,,,,,14
SN253,106.65,Roll,1,1,36,8,,,,,,,,,14
SN254,106.65,Roll,1,1,36,8,,,,,,,,,14
SN255,340.20,Roll,1,1,36,8,,,,,,,,,14
SN256,174.35,Roll,1,1,36,8,,,,,,,,,14
SN257,330.75,Roll,1,1,36,8,,,,,,,,,14
SN258,225.45,Roll,1,1,36,8,,,,,,,,,14
