design_sku,roll_length_feet
2774-606645,33
2774-606652,33
2774-606669,33
2774-606676,33
2774-606690,33
2774-700527,33
2774-700541,33
2774-716948,33
2774-750416,33
2774-831726,33
2774-831740,33
2774-859102,33
2774-859119,33
2774-859126,33
2774-861402,33
2774-861419,33
2774-899603,33
2774-931808,33
2948-25280,33
2948-25281,33
2948-25282,33
2948-25283,33
2948-25284,33
2948-25285,33
2948-25286,33
2948-25287,33
2948-25288,33
2948-25289,33
2948-25291,33
2948-27001,33
2948-27002,33
2948-27003,33
2948-27004,33
2948-27006,33
2948-27007,33
2948-27011,33
2948-27013,33
2948-27014,33
2948-27015,33
2948-27016,33
2948-27026,33
2948-27029,33
2948-27030,33
2948-28001,33
2948-28002,33
2948-28004,33
2948-28005,33
2948-28006,33
2948-28007,33
2948-28008,33
2948-28009,33
2948-28010,33
2948-28011,33
2948-28012,33
2948-28013,33
2948-28014,33
2948-28016,33
2948-28019,33
2948-28020,33
2948-28021,33
2948-28023,33
2948-28025,33
2948-28026,33
2948-28027,33
2948-33000,33
2948-33001,33
2948-33002,33
2948-33003,33
2948-33005,33
2948-33006,33
2948-33009,33
2948-33010,33
2948-33011,33
2948-33012,33
2948-33013,33
2948-33014,33
2948-33015,33
2948-33016,33
2948-33017,33
2948-33018,33
2948-33019,33
2948-33020,33
2948-33026,33
2948-33027,33
2836-22016,33
2836-22021,33
2836-22022,33
2836-24571,33
2836-24578,33
2836-24960,33
2836-24963,33
2836-24967,33
2836-24976,33
2836-24977,33
2836-24980,33
2836-24997,33
2836-24998,33
2836-431926,33
2836-431933,33
2836-431971,33
2836-467208,33
2836-467215,33
2836-467604,33
2836-467642,33
2836-467659,33
2836-467758,33
2836-467765,33
2836-490817,33
2836-490831,33
2836-527278,33
2836-527384,33
2836-527537,33
2836-527575,33
2836-527841,33
2836-609615,33
2836-609646,33
2836-801613,33
2836-801637,33
2836-801644,33
2836-801743,33
2836-801811,33
2836-801828,33
2836-801903,33
2836-801910,33
2836-802016,33
2836-802023,33
2836-802122,33
2836-802207,33
2836-802405,33
2836-802443,33
2836-803105,33
2836-803303,33
2836-804324,33
2836-805109,33
2836-805208,33
2836-805413,33
2836-M0735,33
2836-M0852,33
2836-M0923,33
2836-M1054,33
2836-M1123,33
2836-M1379,33
2836-M1381,33
2836-M1383,33
